good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Diversispora_peridiata,Diversispora,Diversisporaceae,Diversisporales,129819.5096,0.736486486,2,0.56043448,0
Diversispora_pustulata,Diversispora,Diversisporaceae,Diversisporales,576078.0337,0.653571429,0,0.54855489,3
Diversispora_sabulosa,Diversispora,Diversisporaceae,Diversisporales,38586.61177,0.666666667,2,0.798139969,0
Diversispora_slowinskiensis,Diversispora,Diversisporaceae,Diversisporales,891249.4155,0.77173913,2,0.33371567,3
Diversispora_sporocarpia,Diversispora,Diversisporaceae,Diversisporales,2914972.559,0.78125,4,0.329836346,0
Diversispora_spurca,Diversispora,Diversisporaceae,Diversisporales,275856.7714,0.76,0,0.285543933,0
Diversispora_tenera,Diversispora,Diversisporaceae,Diversisporales,379152.6214,0.834615385,4,0.542465156,0
Diversispora_trimurales,Diversispora,Diversisporaceae,Diversisporales,914968.9636,0.94144946,2,0.440778664,0
Diversispora_valentina,Diversispora,Diversisporaceae,Diversisporales,75343.545,0.823966408,4,0.797047406,0
Diversispora_varaderana,Diversispora,Diversisporaceae,Diversisporales,181132.4514,0.9,2,0.480493316,0
Dominikia_achra,Dominikia,Glomeraceae,Glomerales,26263.45278,0.755813953,0,0.582578552,0
Dominikia_aurea,Dominikia,Glomeraceae,Glomerales,77244.45479,0.775,5,0.345372377,0
Dominikia_bernensis,Dominikia,Glomeraceae,Glomerales,25341.29062,0.735294118,2,0.474759205,0
Dominikia_bonfanteae,Dominikia,Glomeraceae,Glomerales,6802.595293,0.714285714,0,0.54977605,0
Dominikia_compressa,Dominikia,Glomeraceae,Glomerales,183853.8561,0.735294118,2,0.37431766,0
Dominikia_difficilevidera,Dominikia,Glomeraceae,Glomerales,21271.72386,0.930555556,0,0.534423163,0
Dominikia_disticha,Dominikia,Glomeraceae,Glomerales,24965.18962,0.85,0,0.558580476,0
Dominikia_duoreactiva,Dominikia,Glomeraceae,Glomerales,49063.29967,0.788461538,2,0.523854389,0
Orientoglomus_emiratium,Orientoglomus,Glomeraceae,Glomerales,91851.52981,0.817460317,4,0.763919866,0
Dominikia_gansuensis,Dominikia,Glomeraceae,Glomerales,32102.62633,0.712765957,2,0.331976762,0
Dominikia_glomerocarpica,Dominikia,Glomeraceae,Glomerales,24718.8364,0.884615385,2,0.797774163,0
Dominikia_indica,Dominikia,Glomeraceae,Glomerales,10999.76308,0.765625,0,0.573022442,0
Dominikia_iranica,Dominikia,Glomeraceae,Glomerales,18524.92468,0.6625,0,0.658501302,0
Dominikia_lithuanica,Dominikia,Glomeraceae,Glomerales,20471.40313,0.782051282,0,0.679474712,0
Microdominikia_litorea,Microdominikia,Glomeraceae,Glomerales,4882.558582,0.72,0,0.530236876,0
Dominikia_minuta,Dominikia,Glomeraceae,Glomerales,18837.77495,0.730769231,0,0.248456668,0
Entrophospora_argentinensis,Entrophospora,Entrophosporaceae,Entrophosporales,274823.9073,0.736842105,2,0.644656321,0
Entrophospora_furrazolae,Entrophospora,Entrophosporaceae,Entrophosporales,165574.4992,0.916666667,1,0.528135666,0
Entrophospora_glacialis,Entrophospora,Entrophosporaceae,Entrophosporales,235402.4173,0.71978022,2,0.725782228,0
Entrophospora_infrequens,Entrophospora,Entrophosporaceae,Entrophosporales,1118326.678,0.638253968,2,0.465196154,3.75
Epigeocarpum_crypticum,Epigeocarpum_crypticum,Glomeraceae,Glomerales,28860.76451,0.925,0,0.798408067,0
