good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Diversispora_tenera,Diversisporales,Diversisporaceae,Diversispora,2,4,5,0,0,0,0,0,0,8,8,8,44,44,130,130,44,44,130,130
Diversispora_trimurales,Diversisporales,Diversisporaceae,Diversispora,2,2,2,0,0,0,0,0,0,2.8,11.65,20.5,60,121,121,130,70,118,118,200
Diversispora_valentina,Diversisporales,Diversisporaceae,Diversispora,0,4,5,0,0,0,0,0,0,5.2,10.3,15.5,22.9,22.9,77.4,77.4,22.9,22.9,77.4,77.4
Diversispora_varaderana,Diversisporales,Diversisporaceae,Diversispora,2,2,2,0,0,0,0,0,0,4.3,7.5,9,60,75,75,90,60,75,75,90
Dominikia_achra,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,2.7,4.2,6.1,22,43,43,55,22,43,43,55
Dominikia_aurea,Glomerales,Glomeraceae,Dominikia,2,5,5,0,0,0,0,0,0,1.6,3.55,5.5,36,55,65,65,30,45,52,52
Dominikia_bernensis,Glomerales,Glomeraceae,Dominikia,2,2,2,0,0,0,0,0,0,2.6,3.3,4,19,25,43,52,19,25,42,46
Dominikia_bonfanteae,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,1.4,2.4,3.4,12,28,28,35,12,28,28,35
Dominikia_compressa,Glomerales,Glomeraceae,Dominikia,2,2,5,0,0,0,0,0,0,3.1,4.8,6.5,50,68,94,103,50,68,94,103
Dominikia_difficilevidera,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,2.5,3.95,5.4,31,36,36,45,31,36,36,45
Dominikia_disticha,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,2.8,4.3,5.8,28,40,40,57,28,40,40,57
Dominikia_duoreactiva,Glomerales,Glomeraceae,Dominikia,2,2,2,0,0,0,0,0,0,3.2,4.7,6.2,30,52,52,70,30,52,52,70
Orientoglomus_emiratium,Glomerales,Glomeraceae,Orientoglomus,4,4,5,0,0,0,0,0,0,5.9,11.5,17.1,40,63,63,87,40,63,63,87
Dominikia_gansuensis,Glomerales,Glomeraceae,Dominikia,2,2,5,0,0,0,0,0,0,1.2,2,3.1,20,47,47,86,20,47,47,86
Dominikia_glomerocarpica,Glomerales,Glomeraceae,Dominikia,1,2,2,0,0,0,0,0,0,3.6,10.2,13,30,39,39,46,30,39,39,46
Dominikia_indica,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,1.8,2.8,5.4,17,32,32,52,17,32,32,52
Dominikia_iranica,Glomerales,Glomeraceae,Dominikia,0,0,2,0,0,0,0,0,0,2.4,4,5.6,13,40,40,56,13,40,40,56
Dominikia_lithuanica,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,3.4,5.15,6.9,22,39,39,52,22,39,39,52
Microdominikia_litorea,Glomerales,Glomeraceae,Microdominikia,0,0,0,0,0,0,0,0,0,1.6,2,2.4,11,25,25,35,11,25,25,35
Dominikia_minuta,Glomerales,Glomeraceae,Dominikia,0,0,0,0,0,0,0,0,0,0.7,1.3,1.9,18,39,39,65,18,39,39,65
Entrophospora_argentinensis,Entrophosporales,Entrophosporaceae,Entrophospora,1,2,2,0,0,0,0,0,0,3.6,12.1,24.5,45,95,95,115,45,95,95,115
Entrophospora_furrazolae,Entrophosporales,Entrophosporaceae,Entrophospora,0,1,2,0,0,0,0,0,0,3.2,8.2,12.8,60,72,72,87,60,72,72,87
Entrophospora_glacialis,Entrophosporales,Entrophosporaceae,Entrophospora,1,2,5,0,0,0,0,0,0,7.2,11.9,19.8,40,91,91,129,40,91,91,129
Entrophospora_infrequens,Entrophosporales,Entrophosporaceae,Entrophospora,1,2,5,2.5,3.75,5,,,,6,10,14,69,69,183,225,69,69,164,164
Epigeocarpum_crypticum,Glomerales,Glomeraceae,Epigeocarpum_crypticum,0,0,2,0,0,0,0,0,0,3.8,10.5,15.5,34,40,40,46,34,40,40,46
Epigeocarpum_japonicum,Glomerales,Glomeraceae,Epigeocarpum_crypticum,0,1,2,0,0,0,0,0,0,7,8.5,10.3,30,38,38,44,30,38,38,44
Funneliformis_badium,Glomerales,Glomeraceae,Funneliformis,4,5,6,0,0,0,0,0,0,5.5,7,14,33,51,90,90,50,75,120,120
Funneliformis_caesaris,Glomerales,Glomeraceae,Funneliformis,2,5,5,0,0,0,0,0,0,9,9.5,10,156,156,212,240,156,156,212,240
Funneliformis_caledonium,Glomerales,Glomeraceae,Funneliformis,2,2,5,0,0,0,0,0,0,7,10.5,14,130,130,279,279,120,120,272,272
Funneliformis_coronatum,Glomerales,Glomeraceae,Funneliformis,2,4,5,0,0,0,0,0,0,4.6,8.05,11.5,173,173,336,336,173,173,336,336
Funneliformis_dimorphicus,Glomerales,Glomeraceae,Funneliformis,2,4,5,0,0,0,0,0,0,5,11,17,90,90,300,300,90,90,300,300
Funneliformis_fragilistratus,Glomerales,Glomeraceae,Funneliformis,2,2,2,0,0,0,0,0,0,14,15.8,17.6,108,146,146,191,108,146,146,191
Funneliformis_geosporus,Glomerales,Glomeraceae,Funneliformis,2,2,5,0,0,0,0,0,0,2,4.5,7,110,110,290,290,110,110,290,290
Funneliformis_halonatus,Glomerales,Glomeraceae,Funneliformis,5,5,5,0.5,0.5,0.5,0.2,0.2,0.2,18,22,27,200,200,280,280,200,200,280,280
Funneliformis_kerguelensis,Glomerales,Glomeraceae,Funneliformis,2,2,2,0,0,0,0,0,0,6.5,8.65,10.8,75,162,153,216,75,162,153,216
Funneliformis_monosporus,Glomerales,Glomeraceae,Funneliformis,5,5,5,0,0,0,0,0,0,4,7,10,140,140,330,330,140,140,330,330
Funneliformis_mosseae,Glomerales,Glomeraceae,Funneliformis,2,2,4,0,0,0,0,0,0,2,4.5,7,105,105,310,310,110,110,305,305
Funneliformis_pilosus,Glomerales,Glomeraceae,Funneliformis,4,4,5,0,0,0,0,0,0,7.2,15.5,24.7,111,111,311,311,111,111,311,311
Funneliformis_verruculosus,Glomerales,Glomeraceae,Funneliformis,2,2,4,0.8,1.25,1.7,0.5,0.6,0.7,5.9,11.1,14.2,150,189,189,265,150,189,189,265
Septoglomus_xanthium,Glomerales,Glomeraceae,Septoglomus,2,2,5,0,0,0,0,0,0,2.1,4.2,6.1,23,50,50,75,23,50,50,75
Funneliglomus_sanmartinensis,Glomerales,Glomeraceae,Funneliglomus,4,5,5,-0.8,-1.7,-2.5,3.9,14.5,20,5.3,9.2,13.1,90,90,148,148,93,93,151,151
Dentiscutata_aurea,Diversisporales,Gigasporaceae,Dentiscutata,2,2,5,1.2,1.5,1.8,0.6,0.8,1.2,0.6,0.8,1.2,36,55,65,65,30,45,52,52
Gigaspora_albida,Diversisporales,Gigasporaceae,Gigaspora,1,2,3,0,0,0,0,0,0,4,8,12,143,143,330,350,143,143,330,350
